t_s,bending_avg_y_mm,torsion_diff_y_mm
7.518536387,2.337844,-2.410078
7.535203053,2.311244,-2.647674
7.55186972,1.990541,-2.552363
7.568536387,1.391781,-2.164629
7.585203053,0.59836,-1.579481
7.60186972,-0.30265,-0.794944
7.618536387,-1.267258,0.101568
7.635203053,-2.190379,1.018288
7.65186972,-2.958726,1.832812
7.668536387,-3.52608,2.429583
7.685203053,-3.809059,2.828094
7.70186972,-3.771972,2.939673
7.718536387,-3.415021,2.721722
7.735203053,-2.749342,2.197344
7.75186972,-1.878738,1.478639
7.768536387,-0.858708,0.598934
7.785203053,0.216103,-0.377206
7.80186972,1.219364,-1.337745
7.818536387,2.034396,-2.12905
7.835203053,2.572391,-2.67737
7.85186972,2.872033,-3.034653
7.868536387,2.882063,-3.105759
7.885203053,2.529894,-2.855645
7.90186972,1.935096,-2.316928
7.918536387,1.17229,-1.593366
7.935203053,0.28409,-0.69804
7.95186972,-0.657525,0.266112
7.968536387,-1.43588,1.133589
7.985203053,-2.082869,1.913544
8.00186972,-2.529288,2.496684
8.018536387,-2.672362,2.815712
8.035203053,-2.490898,2.825712
8.05186972,-2.01015,2.523668
8.068536387,-1.292336,1.95258
8.085203053,-0.393567,1.15914
8.10186972,0.554718,0.292274
8.118536387,1.45426,-0.589777
8.135203053,2.274306,-1.471742
8.15186972,2.87409,-2.174469
8.168536387,3.201538,-2.618302
8.185203053,3.226312,-2.819688
8.20186972,2.932024,-2.683539
8.218536387,2.35886,-2.257027
8.235203053,1.54143,-1.613608
8.25186972,0.579903,-0.769254
8.268536387,-0.452868,0.180294
8.285203053,-1.426513,1.090698
8.30186972,-2.249254,1.895142
8.318536387,-2.86786,2.491893
8.335203053,-3.191973,2.858514
8.35186972,-3.242014,2.986592
8.368536387,-2.95251,2.804212
8.385203053,-2.321399,2.297173
8.40186972,-1.489857,1.571988
8.418536387,-0.524077,0.685871
8.435203053,0.474758,-0.258742
8.45186972,1.469092,-1.242791
8.468536387,2.303695,-2.095348
8.485203053,2.909074,-2.736603
8.50186972,3.25077,-3.135464
8.518536387,3.283198,-3.171934
8.535203053,3.023335,-2.956596
8.55186972,2.510672,-2.46167
8.568536387,1.772388,-1.721152
8.585203053,0.89111,-0.787394
8.60186972,0.001082,0.176716
8.618536387,-0.83218,1.100194
8.635203053,-1.494757,1.844183
8.65186972,-1.978631,2.4401
8.668536387,-2.220943,2.818529
8.685203053,-2.14039,2.863872
8.70186972,-1.772314,2.614652
8.718536387,-1.17099,2.109026
8.735203053,-0.389297,1.391193
8.75186972,0.500728,0.521271
8.768536387,1.394286,-0.393936
8.785203053,2.136154,-1.217694
8.80186972,2.71013,-1.913381
8.818536387,3.053489,-2.414094
8.835203053,3.128123,-2.685007
8.85186972,2.878344,-2.601544
8.868536387,2.2931,-2.185186
8.885203053,1.533154,-1.622956
8.90186972,0.628792,-0.869261
8.918536387,-0.378691,0.03392
8.935203053,-1.321641,0.893755
8.95186972,-2.172698,1.719413
8.968536387,-2.800917,2.406102
8.985203053,-3.186436,2.860362
9.00186972,-3.272983,3.042206
9.018536387,-3.053076,2.918216
9.035203053,-2.551564,2.496596
9.05186972,-1.836464,1.843632
9.068536387,-1.021187,1.04896
9.085203053,-0.121549,0.129309
9.10186972,0.754382,-0.806834
9.118536387,1.46169,-1.597412
9.135203053,1.974595,-2.243063
9.15186972,2.22095,-2.613762
9.168536387,2.178152,-2.709204
9.185203053,1.85956,-2.539225
9.20186972,1.27209,-2.077048
9.218536387,0.521474,-1.444466
9.235203053,-0.351051,-0.649314
9.25186972,-1.240704,0.2075
9.268536387,-2.00151,0.99515
9.285203053,-2.624151,1.707267
9.30186972,-2.977524,2.204684
9.318536387,-3.04189,2.452629
9.335203053,-2.785524,2.429394
9.35186972,-2.227766,2.115732
9.368536387,-1.420538,1.547348
9.385203053,-0.425734,0.763862
9.40186972,0.670996,-0.156022
9.418536387,1.725708,-1.075285
9.435203053,2.700526,-1.958705
9.45186972,3.470901,-2.663351
9.468536387,3.958084,-3.110568
9.485203053,4.139197,-3.259916
9.50186972,3.994552,-3.096478
9.518536387,3.54733,-2.643124
9.535203053,2.860604,-1.986888
9.55186972,1.9637,-1.126208
9.568536387,0.939152,-0.120316
9.585203053,-0.070807,0.84641
9.60186972,-0.883736,1.63946
9.618536387,-1.548956,2.32754
9.635203053,-2.130586,2.93836
9.65186972,-2.350472,3.198025
9.668536387,-2.242674,3.13091
9.685203053,-1.860614,2.771374
9.70186972,-1.257641,2.161771
9.718536387,-0.531405,1.382707
9.735203053,0.27957,0.461054
9.75186972,1.065104,-0.475809
9.768536387,1.728741,-1.352256
9.785203053,2.186604,-2.016052
9.80186972,2.39375,-2.438017
9.818536387,2.32258,-2.563168
9.835203053,1.993647,-2.408119
9.85186972,1.439716,-2.014551
9.868536387,0.541424,-1.261922
9.885203053,-0.389178,-0.453345
9.90186972,-1.327902,0.388268
9.918536387,-2.157486,1.17531
9.935203053,-2.884812,1.867075
9.95186972,-3.411713,2.42284
9.968536387,-3.612776,2.702273
9.985203053,-3.505102,2.710336
10.00186972,-3.089372,2.439772
10.018536387,-2.419098,1.908704
10.035203053,-1.538716,1.11635
10.05186972,-0.557,0.254421
10.068536387,0.414525,-0.649985
10.085203053,1.351018,-1.573293
10.10186972,2.137448,-2.365436
10.118536387,2.676688,-2.922648
10.135203053,2.952498,-3.184374
10.15186972,2.93178,-3.124824
10.168536387,2.629754,-2.813042
10.185203053,2.095867,-2.23101
10.20186972,1.447362,-1.522224
10.218536387,0.765007,-0.744152
10.235203053,-0.163406,0.28691
10.25186972,-0.937142,1.173168
10.268536387,-1.515812,1.91395
10.285203053,-1.874752,2.450308
10.30186972,-1.98265,2.747148
10.318536387,-1.831812,2.763512
10.335203053,-1.434725,2.520037
10.35186972,-0.829294,2.015028
10.368536387,-0.105584,1.30757
10.385203053,0.661126,0.49084
10.40186972,1.376858,-0.348369
10.418536387,1.94243,-1.086757
10.435203053,2.326253,-1.671523
10.45186972,2.458368,-2.08404
10.468536387,2.309184,-2.215898
10.485203053,1.875402,-2.027385
10.50186972,1.211942,-1.607353
10.518536387,0.377992,-1.02498
10.535203053,-0.557756,-0.300536
10.55186972,-1.491811,0.464104
10.568536387,-2.371194,1.249851
10.585203053,-3.073954,1.876905
10.60186972,-3.528302,2.347726
10.618536387,-3.694622,2.575488
10.635203053,-3.539926,2.534369
10.65186972,-3.064781,2.210926
10.668536387,-2.336614,1.654009
10.685203053,-1.403993,0.89508
10.70186972,-0.38529,0.030182
10.718536387,0.617389,-0.835205
10.735203053,1.566765,-1.682245
10.75186972,2.356358,-2.397236
10.768536387,2.886822,-2.88441
10.785203053,3.117928,-3.13323
10.80186972,3.062131,-3.062838
10.818536387,2.71505,-2.707824
10.835203053,2.12948,-2.131933
10.85186972,1.373737,-1.34887
10.868536387,0.528669,-0.45534
10.885203053,-0.311046,0.45044
10.90186972,-1.068042,1.268472
10.918536387,-1.644592,1.966092
10.935203053,-1.996533,2.445299
10.95186972,-2.086936,2.684538
10.968536387,-1.898022,2.632309
10.985203053,-1.451487,2.316175
11.00186972,-0.790578,1.763204
11.018536387,0.001919,1.032148
11.035203053,0.865603,0.180493
11.05186972,1.709503,-0.700199
11.068536387,2.397228,-1.482084
11.085203053,2.877234,-2.068988
11.10186972,3.09772,-2.445098
11.118536387,3.039122,-2.582666
11.135203053,2.715117,-2.394867
11.15186972,2.125514,-1.93718
11.168536387,1.329462,-1.294398
11.185203053,0.448539,-0.532973
11.20186972,-0.495356,0.292354
11.218536387,-1.402408,1.130356
11.235203053,-2.1898,1.888918
11.25186972,-2.752062,2.475286
11.268536387,-3.045667,2.809206
11.285203053,-3.057368,2.873752
11.30186972,-2.785198,2.658288
11.318536387,-2.226661,2.15428
11.335203053,-1.482576,1.448558
11.35186972,-0.610718,0.592966
11.368536387,0.277922,-0.295298
11.385203053,1.08543,-1.131354
11.40186972,1.75948,-1.850052
11.418536387,2.20827,-2.401304
11.435203053,2.402274,-2.69763
11.45186972,2.316442,-2.695367
11.468536387,1.964204,-2.470272
11.485203053,1.393007,-1.960738
11.50186972,0.6422,-1.255438
11.518536387,-0.192836,-0.430956
11.535203053,-1.020323,0.416042
11.55186972,-1.767657,1.219542
11.568536387,-2.351528,1.882498
11.585203053,-2.695534,2.340312
11.60186972,-2.767944,2.553768
11.618536387,-2.54698,2.484923
11.635203053,-2.050985,2.140075
11.65186972,-1.328419,1.549229
11.668536387,-0.445324,0.770784
11.685203053,0.502492,-0.102926
11.70186972,1.415552,-0.981961
11.718536387,2.207389,-1.765603
11.735203053,2.821888,-2.393371
11.75186972,3.183986,-2.812688
11.768536387,3.250209,-2.96449
11.785203053,3.034418,-2.779216
11.80186972,2.562194,-2.346658
11.818536387,1.889586,-1.710587
11.835203053,1.085643,-0.914942
11.85186972,0.232796,-0.059381
11.868536387,-0.578062,0.81359
11.885203053,-1.290286,1.598583
11.90186972,-1.807453,2.219932
11.918536387,-2.063368,2.600408
11.935203053,-2.037237,2.702114
11.95186972,-1.734276,2.532137
11.968536387,-1.184304,2.10406
11.985203053,-0.467095,1.485426
12.00186972,0.331642,0.738844
12.018536387,1.15604,-0.087892
12.035203053,1.906153,-0.90385
12.05186972,2.466128,-1.586116
12.068536387,2.780622,-2.067157
12.085203053,2.825241,-2.311379
12.10186972,2.583753,-2.280911
12.118536387,2.076624,-1.986601
12.135203053,1.330724,-1.461238
12.15186972,0.398532,-0.712838
12.168536387,-0.60124,0.110774
12.185203053,-1.587,0.957525
12.20186972,-2.483983,1.727231
12.218536387,-3.174548,2.34215
12.235203053,-3.63224,2.749966
12.25186972,-3.803214,2.908396
12.268536387,-3.649436,2.775701
12.285203053,-3.17424,2.358976
12.30186972,-2.445874,1.713385
12.318536387,-1.556319,0.903205
12.335203053,-0.568302,-0.017057
12.35186972,0.43599,-0.973996
12.368536387,1.347616,-1.860242
12.385203053,2.088322,-2.589202
12.40186972,2.583568,-3.073624
12.418536387,2.805636,-3.279
12.435203053,2.75022,-3.158962
12.45186972,2.429922,-2.729286
12.468536387,1.897732,-2.095312
12.485203053,1.22183,-1.275096
12.50186972,0.443301,-0.33699
12.518536387,-0.350286,0.611353
12.535203053,-1.04459,1.480872
12.55186972,-1.567193,2.12403
12.568536387,-1.874458,2.57848
12.585203053,-1.932015,2.77211
12.60186972,-1.727435,2.692325
12.618536387,-1.296792,2.351089
12.635203053,-0.678997,1.780231
12.65186972,0.049282,1.040584
12.668536387,0.800015,0.213157
12.685203053,1.49927,-0.625284
12.70186972,2.062403,-1.367823
12.718536387,2.419408,-1.965751
12.735203053,2.540819,-2.318549
12.75186972,2.402455,-2.376946
12.768536387,2.003647,-2.214758
12.785203053,1.38095,-1.744661
12.80186972,0.595553,-1.112332
12.818536387,-0.275201,-0.350243
12.835203053,-1.157691,0.469607
12.85186972,-1.951964,1.193694
12.868536387,-2.59193,1.849656
12.885203053,-3.013536,2.308422
12.90186972,-3.158357,2.536082
12.918536387,-3.016143,2.518994
12.935203053,-2.591205,2.238244
12.95186972,-1.946842,1.733238
12.968536387,-1.12861,1.035658
12.985203053,-0.237299,0.228804
13.00186972,0.629036,-0.601562
13.018536387,1.410866,-1.382642
13.035203053,2.012318,-2.054417
13.05186972,2.384144,-2.515981
13.068536387,2.504612,-2.732429
13.085203053,2.356857,-2.687158
13.10186972,1.952878,-2.357212
13.118536387,1.331874,-1.778527
13.135203053,0.56709,-1.032755
13.15186972,-0.286186,-0.173882
13.168536387,-1.113205,0.699794
13.185203053,-1.837825,1.496806
13.20186972,-2.375034,2.0949
13.218536387,-2.67391,2.482136
13.235203053,-2.69495,2.615856
13.25186972,-2.425536,2.471704
13.268536387,-1.895778,2.069536
13.285203053,-1.161447,1.466746
13.30186972,-0.304823,0.709475
13.318536387,0.590788,-0.119024
13.335203053,1.43396,-0.93541
13.35186972,2.122062,-1.645054
13.368536387,2.595514,-2.17704
13.385203053,2.797808,-2.492341
13.40186972,2.71571,-2.552218
13.418536387,2.351516,-2.292802
13.435203053,1.746453,-1.828479
13.45186972,0.923745,-1.137952
13.468536387,0.008582,-0.328008
13.485203053,-0.944456,0.530759
13.50186972,-1.826904,1.335738
13.518536387,-2.547668,2.007166
13.535203053,-3.052193,2.499067
13.55186972,-3.335061,2.800985
13.568536387,-3.29887,2.808036
13.585203053,-2.95332,2.520154
13.60186972,-2.359397,1.992932
