t_s,x_w,y_w,z_w,qx,qy,qz,qw
2.496480544,-0.000736049,-0.007208944,1.782935401,-0.037586114,0.010792212,-0.024789893,0.998927562
2.513147211,-0.000733113,-0.006822072,1.779448813,-0.01594888,0.029955601,-0.023263272,0.999153199
2.529813878,-0.000726434,-0.006051613,1.773090589,-0.007647286,0.053283897,-0.020044058,0.998348928
2.546480544,-0.000725707,-0.004985364,1.767737767,-0.006673253,0.06627379,-0.015562523,0.997657787
2.563147211,-0.000737133,-0.003747498,1.765044679,-0.007250256,0.071700822,-0.010329734,0.99734634
2.579813878,-0.000760635,-0.002463005,1.765077081,-0.007930409,0.071718163,-0.004796082,0.997381878
2.596480544,-0.000800282,-0.001295748,1.767767598,-0.008541651,0.066488239,0.000219086,0.997750623
2.613147211,-0.000847669,-0.000333031,1.773470688,-0.009455291,0.05243138,0.004350061,0.99857029
2.629813878,-0.000881407,0.000334796,1.780036317,-0.018960299,0.028501701,0.007253304,0.999387587
2.646480544,-0.000896294,0.000623306,1.783094058,-0.041979118,0.01075943,0.008560251,0.999023879
2.663147211,-0.000892572,0.000516404,1.783400455,-0.065291731,0.006677795,0.008100182,0.997810996
2.679813878,-0.000863589,4.3485e-05,1.783568102,-0.081061154,0.004127982,0.006159642,0.996681548
2.696480544,-0.000820987,-0.000770119,1.783993608,-0.090031501,0.002036108,0.002746146,0.995933051
2.713147211,-0.000780516,-0.001843317,1.783883534,-0.095982627,0.003686043,-0.00200239,0.99537417
2.729813878,-0.00074351,-0.003019279,1.783499606,-0.099461954,0.002897855,-0.007018669,0.995012392
2.746480544,-0.000720506,-0.004207635,1.783326782,-0.0977073,0.001708522,-0.012085416,0.995140346
2.763147211,-0.000717887,-0.005272936,1.783115789,-0.091549914,0.002690058,-0.016921766,0.995653067
2.779813878,-0.000721284,-0.006095124,1.78314019,-0.081224388,0.003967587,-0.020954218,0.99646765
2.796480544,-0.000723929,-0.006593684,1.783295843,-0.066300324,0.005639119,-0.023697942,0.997502318
2.813147211,-0.000728017,-0.006725344,1.783184721,-0.044435118,0.010688215,-0.024821321,0.998646676
2.829813878,-0.00072779,-0.006503645,1.781146214,-0.023514724,0.023749131,-0.024429733,0.999142745
2.846480544,-0.000720747,-0.006003692,1.776760606,-0.009532104,0.042790014,-0.022906302,0.998775978
2.863147211,-0.00071057,-0.004811176,1.769212058,-0.005645051,0.063761574,-0.018485947,0.997777964
2.879813878,-0.000712174,-0.003567714,1.765449696,-0.004333413,0.071546988,-0.013487156,0.997336627
2.896480544,-0.000726556,-0.002261366,1.764347467,-0.006690959,0.073514438,-0.008070406,0.997239052
2.913147211,-0.000760666,-0.001004018,1.766391485,-0.008725693,0.069721112,-0.002703301,0.997524697
2.929813878,-0.00080426,8.2276e-05,1.770752374,-0.010384415,0.060380857,0.002054111,0.99811928
