frame_idx,timestamp_s,x_w,y_w,z_w,qx,qy,qz,qw,reproj_err
124,2.078516741,-0.00061089,0.00073603,1.73475621,-0.03699132,-0.07377159,-0.00938586,0.99654468,0.174102
125,2.095376817,-0.00059965,0.00126467,1.73388127,-0.03519737,-0.07640873,-0.00963033,0.9964086,0.140864
126,2.11200722,-0.00058425,0.00181652,1.73482735,-0.03777853,-0.07471969,-0.0096001,0.99644247,0.273591
127,2.128678966,-0.00058566,0.00237479,1.73347376,0.03550493,0.07687013,-0.00998519,0.99635871,0.30865
128,2.145617364,-0.00055352,0.00291954,1.73329024,-0.04218241,-0.07715579,-0.00959656,0.99608008,0.18015
129,2.16227374,-0.00053669,0.00344099,1.73329668,-0.04174577,-0.0764138,-0.00986544,0.99615305,0.141738
130,2.178428935,-0.00052947,0.00394448,1.73450199,0.03838403,0.07203457,-0.01016266,0.99661146,0.192974
131,2.195205187,-0.000504,0.00439823,1.73495875,0.03902304,0.06885688,-0.0098901,0.99681398,0.181045
132,2.211805251,-0.00047317,0.00478757,1.73578776,-0.04084785,-0.06635084,-0.00951392,0.99691449,0.124282
133,2.229861796,-0.00047428,0.00513371,1.73740035,0.03441949,0.06385189,-0.00977772,0.99731772,0.251092
134,2.245298717,-0.00044483,0.00538099,1.73877504,-0.03947228,-0.06222461,-0.00961139,0.99723501,0.163042
135,2.262181831,-0.00043172,0.00557204,1.73937046,-0.04435086,-0.06227288,-0.00911034,0.99703164,0.256783
136,2.279054717,-0.00042791,0.00568019,1.74085717,-0.04279029,-0.05905107,-0.00946188,0.99729255,0.208211
137,2.295732376,-0.00042667,0.00571082,1.7439757,-0.04170795,-0.05141698,-0.00979077,0.99775793,0.231956
138,2.31228987,-0.00042562,0.00564178,1.74206889,-0.0516216,-0.05590042,-0.00903534,0.99706004,0.239161
139,2.328878076,-0.00043175,0.00550461,1.74320876,-0.05268487,-0.05238139,-0.00911572,0.99719476,0.260692
140,2.345314029,-0.00044121,0.00528226,1.74331451,-0.05736777,-0.05147646,-0.00893037,0.99698514,0.207686
141,2.362175358,-0.00045686,0.00498744,1.74481091,-0.05969399,-0.0453545,-0.0092837,0.99714262,0.118832
142,2.379404148,-0.00047538,0.00462794,1.7445585,-0.06434265,-0.04324739,-0.00942272,0.99694579,0.148516
143,2.39552692,-0.00049179,0.0041992,1.74438476,-0.06846275,-0.04397737,-0.00940278,0.99663957,0.116226
144,2.411971452,-0.00051078,0.00373601,1.74415044,-0.06886518,-0.04741214,-0.00945797,0.99645382,0.093218
145,2.428423214,-0.00053473,0.00323704,1.74678848,-0.06725265,-0.04168952,-0.0099388,0.99681507,0.066713
146,2.445157103,-0.00055636,0.00268728,1.74732838,-0.0671692,-0.04336913,-0.00976247,0.99675078,0.153237
147,2.462170379,-0.00057196,0.00213462,1.74784871,-0.06623041,-0.0439033,-0.00964411,0.99679136,0.22693
148,2.47927423,-0.00058745,0.0015755,1.74731469,-0.06780091,-0.04496346,-0.00931635,0.99664163,0.168846
149,2.495202996,-0.00059789,0.00103415,1.74757679,-0.06514224,-0.0442852,-0.00933164,0.99684915,0.194681
150,2.511931012,-0.00060765,0.00052011,1.74759387,-0.06265243,-0.04380168,-0.00932541,0.99703015,0.182824
151,2.528652498,-0.00061791,3.464e-05,1.74712059,-0.06106214,-0.04447849,-0.00915125,0.99710046,0.221148
152,2.546311276,-0.00062847,-0.00041652,1.74636452,-0.06158112,-0.0459966,-0.00890555,0.99700189,0.216129
153,2.562353486,-0.00063098,-0.00080634,1.74567383,-0.05441497,-0.04745362,-0.00929451,0.99734687,0.212295
154,2.585890555,-0.00063482,-0.00113149,1.74488118,-0.05476699,-0.04899672,-0.00900558,0.99725563,0.22596
155,2.603651061,-0.00063617,-0.00137811,1.74501845,-0.04781864,-0.04848274,-0.00950558,0.99763342,0.353175
156,2.614332635,-0.00063807,-0.00155055,1.74192632,-0.05212599,-0.05672374,-0.00902728,0.99698737,0.16395
157,2.628781914,-0.00064196,-0.00164647,1.74271953,-0.04608772,-0.05373562,-0.00950284,0.99744579,0.199164
158,2.645498255,-0.00064182,-0.0016495,1.74209484,-0.04246638,-0.05598855,-0.0095924,0.99748177,0.231373
159,2.662054456,-0.00064206,-0.00155845,1.73939041,-0.04569327,-0.06215359,-0.00912254,0.99697835,0.205282
160,2.679077283,-0.00064223,-0.00139953,1.73873765,-0.04226755,-0.06314156,-0.00930027,0.99706575,0.178134
161,2.695520252,-0.00064136,-0.00115434,1.73748826,-0.04054747,-0.06627332,-0.00937852,0.99693319,0.171481
162,2.712025039,-0.00064053,-0.00083325,1.73550911,-0.03952866,-0.07020116,-0.00930291,0.99670594,0.212252
163,2.728800917,-0.00063603,-0.00044316,1.73575724,-0.04091096,-0.07034634,-0.00930582,0.9966399,0.151817
164,2.745761386,-0.0006276,6.3e-06,1.73598559,-0.03873619,-0.0703956,-0.0093106,0.99672327,0.185675
165,2.762031018,-0.00061752,0.00049521,1.73431247,-0.0365005,-0.07442485,-0.00958512,0.99651231,0.158971
166,2.780601797,-0.00062177,0.00102979,1.73512006,0.03549517,0.0736167,-0.00951387,0.99660933,0.300418
167,2.795527589,-0.0005888,0.00157726,1.73349149,-0.03637736,-0.07743032,-0.00944321,0.99628914,0.185613
168,2.811916924,-0.00057263,0.0021421,1.73386044,-0.03715901,-0.07687996,-0.00959681,0.99630145,0.204618
169,2.828772262,-0.0005585,0.00270848,1.73343183,-0.03771318,-0.07779573,-0.00997536,0.99620582,0.183798
170,2.845535514,-0.00053585,0.00326075,1.7326929,-0.04196209,-0.07771274,-0.00985451,0.99604357,0.215124
171,2.861884616,-0.00051185,0.00378209,1.73318048,-0.04190636,-0.07438667,-0.00978336,0.99630054,0.089163
172,2.879118659,-0.00049204,0.00427195,1.73533305,-0.03963844,-0.068766,-0.00979069,0.99679696,0.051471
173,2.895855325,-0.00048854,0.00470718,1.73551324,0.03781785,0.06621555,-0.00975599,0.99704069,0.154682
174,2.911857977,-0.00045803,0.005064,1.73659302,-0.03743838,-0.06544318,-0.00957027,0.9971078,0.195701
175,2.928934758,-0.00044543,0.00535973,1.73796249,-0.04002502,-0.06330556,-0.00928631,0.99714802,0.229561
176,2.945403219,-0.00043043,0.00558646,1.7387115,-0.04335085,-0.06349182,-0.00910272,0.99699881,0.244326
177,2.961945657,-0.00042305,0.00573646,1.74177669,-0.03739137,-0.05741292,-0.00976964,0.99760222,0.25007
178,2.978461743,-0.00042158,0.00578975,1.74172254,-0.04634833,-0.05749202,-0.00927253,0.99722641,0.216361
179,2.995907272,-0.00042416,0.00576226,1.74361864,-0.04610732,-0.05245766,-0.00958351,0.99751214,0.244986
180,3.011928479,-0.00042848,0.00563375,1.74229415,-0.05316605,-0.05510732,-0.0091434,0.99702204,0.154015
181,3.029028763,-0.00043942,0.00544231,1.74601763,-0.05197215,-0.04449482,-0.00945574,0.997612,0.224866
182,3.045314374,-0.00045219,0.00516165,1.74538344,-0.05635993,-0.04455592,-0.00949097,0.99737067,0.2503
183,3.0621945,-0.00046777,0.00480592,1.74414319,-0.06428829,-0.04467369,-0.00920006,0.99688848,0.041483
184,3.078978725,-0.00048564,0.00439067,1.74457623,-0.06565483,-0.04299985,-0.00950326,0.99687017,0.185321
185,3.095674413,-0.00049967,0.00393078,1.74511274,-0.06711442,-0.04333153,-0.00966139,0.99675709,0.148747
186,3.11238529,-0.00052086,0.00341929,1.74432313,-0.07103755,-0.04801156,-0.00933621,0.99627375,0.069099
187,3.129206075,-0.00054471,0.00288364,1.74628708,-0.07012372,-0.04489528,-0.0097801,0.99647952,0.101103
188,3.145502158,-0.000562,0.00232251,1.74682117,-0.06886287,-0.04620544,-0.00957537,0.99650955,0.147181
189,3.162034699,-0.00057731,0.00175837,1.74754359,-0.06775483,-0.0445283,-0.00950243,0.99666254,0.131436
190,3.178750673,-0.00058988,0.00119177,1.74814889,-0.06565568,-0.04263089,-0.00947126,0.99688627,0.180453
191,3.19536146,-0.0006016,0.00065947,1.7473647,-0.06334397,-0.0445113,-0.00928252,0.99695543,0.165868
192,3.212126154,-0.00061087,0.00015506,1.74866634,-0.05973444,-0.04004585,-0.00961105,0.9973644,0.270393
193,3.228911003,-0.00061901,-0.00031297,1.74776347,-0.05865897,-0.04196833,-0.00931086,0.99735204,0.317721
194,3.245576603,-0.00062757,-0.00072171,1.74607824,-0.05852134,-0.04682169,-0.00915317,0.99714553,0.263688
195,3.26300389,-0.00063185,-0.00107223,1.74549279,-0.05631223,-0.04730138,-0.00931162,0.99724862,0.230709
196,3.278952554,-0.00063852,-0.00135758,1.74556952,-0.05052078,-0.04652966,-0.00951243,0.99759318,0.330285
197,3.295878639,-0.00064092,-0.00155411,1.74265211,-0.05171097,-0.05482633,-0.00908768,0.99711457,0.200673
198,3.31259376,-0.00064373,-0.00167816,1.74303885,-0.04822026,-0.05330162,-0.00940218,0.99736921,0.226448
199,3.329171129,-0.0006424,-0.00170814,1.74117673,-0.04709807,-0.0577604,-0.00924313,0.99717605,0.186746
200,3.34578296,-0.00064466,-0.00166347,1.74060258,-0.04304308,-0.05908442,-0.00948961,0.99727944,0.158771
201,3.362128825,-0.00064567,-0.00152585,1.73864045,-0.04515934,-0.06336336,-0.00923817,0.99692546,0.150446
202,3.379321545,-0.00064517,-0.00130075,1.73865795,-0.03499031,-0.06361613,-0.0098,0.9973127,0.241716
203,3.395811088,-0.00064282,-0.00101094,1.73721369,-0.03693596,-0.0667234,-0.00960355,0.99704137,0.182118
204,3.411703876,-0.00063919,-0.00065404,1.73632909,-0.03731051,-0.06874319,-0.00961515,0.99689009,0.268418
205,3.428659238,-0.00064931,-0.00020922,1.73516021,0.0354045,0.07081046,-0.00964316,0.99681463,0.26155
