t_s,bending_avg_y_mm,torsion_diff_y_mm,bending_smoothed_mm,torsion_smoothed_mm
3.588862,-1.559292,1.127482,-1.559383,1.125704
3.605528,-1.797314,0.906889,-1.797095,0.906426
3.622195,-1.991501,0.655084,-1.991149,0.655365
3.638862,-2.135516,0.401327,-2.135623,0.401493
3.655528,-2.235524,0.160173,-2.235088,0.161107
3.672195,-2.281840,-0.042267,-2.281797,-0.041538
3.688862,-2.283292,-0.203967,-2.283245,-0.203363
3.705528,-2.242892,-0.329262,-2.243008,-0.328510
3.722195,-2.166766,-0.423434,-2.167026,-0.424790
3.738862,-2.059369,-0.532133,-2.059735,-0.533457
3.755528,-1.922604,-0.657634,-1.922272,-0.656892
3.772195,-1.743046,-0.759428,-1.742775,-0.760188
3.788862,-1.521345,-0.857748,-1.521503,-0.856324
3.805528,-1.266514,-0.909660,-1.265819,-0.908868
3.822195,-0.967772,-0.928526,-0.967094,-0.928517
3.838862,-0.632816,-0.935365,-0.634092,-0.936426
3.855528,-0.305733,-0.958582,-0.304618,-0.957049
3.872195,0.046952,-0.959398,0.045968,-0.962361
3.888862,0.379571,-1.020155,0.380023,-1.020121
3.905528,0.710222,-1.081045,0.710118,-1.081921
3.922195,1.022197,-1.143494,1.021678,-1.143136
3.938862,1.301779,-1.167956,1.302849,-1.165594
3.955528,1.570046,-1.107100,1.569808,-1.106540
3.972195,1.794703,-0.993042,1.794640,-0.991736
3.988862,1.969945,-0.822000,1.968568,-0.824865
4.005528,2.066780,-0.679143,2.066958,-0.678767
4.022195,2.112298,-0.513021,2.112362,-0.512098
4.038862,2.107364,-0.316240,2.106795,-0.317603
4.055528,2.045803,-0.130465,2.045802,-0.129769
4.072195,1.944278,0.078634,1.944594,0.080334
4.088862,1.815343,0.322615,1.815607,0.322183
4.105528,1.664304,0.551792,1.663667,0.551499
4.122195,1.480418,0.753925,1.481237,0.754065
4.138862,1.294328,0.923241,1.294040,0.922172
4.155528,1.090476,1.029566,1.090211,1.028315
4.172195,0.873676,1.067476,0.873657,1.068266
4.188862,0.653397,1.077238,0.653712,1.076401
4.205528,0.440436,1.036898,0.440892,1.037575
4.222195,0.240411,0.980218,0.240060,0.980836
4.238862,0.040184,0.910282,0.040484,0.910223
4.255528,-0.148428,0.815778,-0.148462,0.816047
4.272195,-0.331079,0.701524,-0.331667,0.700455
4.288862,-0.515550,0.544673,-0.516110,0.544074
4.305528,-0.695876,0.358848,-0.695762,0.359521
